id,from,to,jahr
1001,U15,U16,2007
1001,U16,U17,2008
1001,U21,A,2010
1002,U15,U16,2008
1002,U16,U17,2009
1002,U17,U18,2009
1002,U18,U19,2010
1003,U15,U16,2007
1003,U16,U17,2008
1003,U17,U18,1009
1003,U18,U19,2010
1003,U19,U20,2011
1004,U15,U16,2007
1004,U16,U17,2008
1004,U17,U18,2009
1004,U18,U19,2010
1004,U19,U20,2011
1005,U15,U16,2008
1005,U16,U17,2009
1007,U15,U16,2007
1007,U16,U17,2008
1007,U17,U18,2009
1009,U15,U16,2007
1009,U16,U17,2008
1009,U17,U18,2009
1010,U15,U16,2007
1010,U16,U17,2008
1010,U17,U18,2009
1011,U15,U16,2007
1011,U16,U17,2008
1011,U17,U18,2009
1011,U18,U19,2010
1012,U15,U16,2008
1012,U16,U17,2008
1012,U17,U18,2009
1012,U18,U19,2010
1012,U19,U20,2011
1013,U15,U16,2007
1013,U16,U17,2008
1013,U17,U18,2009
1014,U15,U16,2008
1014,U16,U17,2009
1014,U17,U18,2009
1014,U18,U19,2010
1015,U15,U16,2007
1015,U16,U17,2008
1015,U17,U18,2009
1015,U18,U19,2010
1015,U19,U20,2011
1016,U15,U16,2008
1017,U15,U16,2007
1017,U16,U17,2008
1017,U17,U18,2009
1018,U15,U16,2007
1019,U15,U16,2007
1019,U16,U17,2008
1019,U17,U18,2009
1019,U18,U19,2010
1019,U19,U20,2011
1020,U15,U16,2007
1020,U16,U17,2008
1020,U17,U18,2009
1021,U15,U16,2007
1021,U16,U17,2009